#ies_format_version: 1.0
#file: 20250807_4000.dat
#file_info: generated by AsciiLoger of OpenMUC
#timezone: + 5
#timestep_sec: 4.0
#col_no;	col_name;	confidential;	measured;	unit;	category;	comment
#001;	YYYYMMDD;	FALSE;	FALSE;	0;	time;	INTEGER,8. Date [human readable]
#002;	hhmmss;	FALSE;	FALSE;	0;	time;	SHORT,6. Time [human readable]
#003;	unixtimestamp;	FALSE;	FALSE;	s;	time;	DOUBLE,14. lapsed seconds from 01-01-1970
#004;	holding1;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
#005;	holding2;	FALSE;	TRUE;	0;	other;	INTEGER,12. -
YYYYMMDD;	hhmmss;	unixtimestamp;	holding1;	holding2
20250807;	100840;	1754541520.000;	        err8;	        err8
20250807;	100844;	1754541524.000;	        err8;	        err8
20250807;	100848;	1754541528.000;	        err8;	        err8
20250807;	100852;	1754541532.000;	        err8;	        err8
20250807;	100856;	1754541536.000;	        err8;	        err8
20250807;	100900;	1754541540.000;	        err8;	        err8
20250807;	100904;	1754541544.000;	        err8;	        err8
20250807;	100908;	1754541548.000;	        err8;	        err8
20250807;	100912;	1754541552.000;	        err8;	        err8
20250807;	100916;	1754541556.000;	        err8;	        err8
20250807;	100920;	1754541560.000;	        err8;	        err8
20250807;	100924;	1754541564.000;	        err8;	        err8
20250807;	100928;	1754541568.000;	        err8;	        err8
20250807;	100932;	1754541572.000;	        err8;	        err8
20250807;	100936;	1754541576.000;	        err8;	        err8
20250807;	100940;	1754541580.000;	        err8;	        err8
20250807;	100944;	1754541584.000;	        err8;	        err8
20250807;	100948;	1754541588.000;	        err8;	        err8
20250807;	100952;	1754541592.000;	        err8;	        err8
20250807;	100956;	1754541596.000;	       err32;	       err32
20250807;	101000;	1754541600.000;	       err32;	       err32
20250807;	101004;	1754541604.000;	       err32;	       err32
20250807;	101008;	1754541608.000;	       err32;	       err32
20250807;	101012;	1754541612.000;	       err32;	       err32
20250807;	101016;	1754541616.000;	       err32;	       err32
20250807;	101020;	1754541620.000;	       err32;	       err32
20250807;	101024;	1754541624.000;	       err32;	       err32
20250807;	101028;	1754541628.000;	       err32;	       err32
20250807;	101032;	1754541632.000;	       err32;	       err32
20250807;	101036;	1754541636.000;	       err32;	       err32
20250807;	101040;	1754541640.000;	       err32;	       err32
20250807;	101044;	1754541644.000;	       err32;	       err32
20250807;	101048;	1754541648.000;	       err32;	       err32
20250807;	101052;	1754541652.000;	       err32;	       err32
20250807;	101056;	1754541656.000;	       err32;	       err32
20250807;	101100;	1754541660.000;	       err32;	       err32
20250807;	101104;	1754541664.000;	       err32;	       err32
20250807;	101108;	1754541668.000;	       err32;	       err32
20250807;	101112;	1754541672.000;	       err32;	       err32
20250807;	101116;	1754541676.000;	       err32;	       err32
20250807;	101120;	1754541680.000;	       err32;	       err32
20250807;	101124;	1754541684.000;	       err32;	       err32
20250807;	101128;	1754541688.000;	       err32;	       err32
20250807;	101132;	1754541692.000;	       err32;	       err32
20250807;	101136;	1754541696.000;	       err32;	       err32
20250807;	101140;	1754541700.000;	       err32;	       err32
20250807;	101144;	1754541704.000;	       err32;	       err32
20250807;	101148;	1754541708.000;	       err32;	       err32
20250807;	101152;	1754541712.000;	       err32;	       err32
20250807;	101156;	1754541716.000;	       err32;	       err32
20250807;	101200;	1754541720.000;	       err32;	       err32
20250807;	101204;	1754541724.000;	       err32;	       err32
20250807;	101208;	1754541728.000;	       err32;	       err32
